# Twin BBN prediction of the primordial Helium abundance $Y_p$ as
# function of the twin vev ratio and number of extra
# radiation degrees of freedom $\Delta N = N_eff-3.046$. Impact of
# chemical potential of electron neutrinos neglected in this version.
#
# Extracted as a fit to
#
# Format:
# First line must contain (num_ratios,num_DeltaN), other lines must
# contain (ratio,DeltaN,YHe_twin) blank lines and lines starting with #
# neglected

73	105
0.6000	0.000500	0.89147
0.8000	0.000500	0.85077
1.000	0.000500	0.83335
1.200	0.000500	0.82553
1.400	0.000500	0.82225
1.600	0.000500	0.82134
1.800	0.000500	0.82173
2.000	0.000500	0.82284
2.200	0.000500	0.82437
2.400	0.000500	0.82614
2.600	0.000500	0.82802
2.800	0.000500	0.82996
3.000	0.000500	0.83190
3.200	0.000500	0.83383
3.400	0.000500	0.83573
3.600	0.000500	0.83758
3.800	0.000500	0.83937
4.000	0.000500	0.84112
4.200	0.000500	0.84281
4.400	0.000500	0.84445
4.600	0.000500	0.84603
4.800	0.000500	0.84756
5.000	0.000500	0.84904
5.200	0.000500	0.85047
5.400	0.000500	0.85185
5.600	0.000500	0.85319
5.800	0.000500	0.85448
6.000	0.000500	0.85574
6.200	0.000500	0.85695
6.400	0.000500	0.85813
6.600	0.000500	0.85928
6.800	0.000500	0.86038
7.000	0.000500	0.86146
7.200	0.000500	0.86250
7.400	0.000500	0.86352
7.600	0.000500	0.86451
7.800	0.000500	0.86547
8.000	0.000500	0.86640
8.200	0.000500	0.86731
8.400	0.000500	0.86820
8.600	0.000500	0.86906
8.800	0.000500	0.86991
9.000	0.000500	0.87073
9.200	0.000500	0.87153
9.400	0.000500	0.87231
9.600	0.000500	0.87308
9.800	0.000500	0.87382
10.00	0.000500	0.87455
10.20	0.000500	0.87527
10.40	0.000500	0.87596
10.60	0.000500	0.87665
10.80	0.000500	0.87731
11.00	0.000500	0.87797
11.20	0.000500	0.87861
11.40	0.000500	0.87924
11.60	0.000500	0.87985
11.80	0.000500	0.88045
12.00	0.000500	0.88105
12.20	0.000500	0.88163
12.40	0.000500	0.88219
12.60	0.000500	0.88275
12.80	0.000500	0.88330
13.00	0.000500	0.88384
13.20	0.000500	0.88436
13.40	0.000500	0.88488
13.60	0.000500	0.88539
13.80	0.000500	0.88589
14.00	0.000500	0.88639
14.20	0.000500	0.88687
14.40	0.000500	0.88734
14.60	0.000500	0.88781
14.80	0.000500	0.88827
15.00	0.000500	0.88872
0.6000	0.00100	0.87839
0.8000	0.00100	0.83292
1.000	0.00100	0.81350
1.200	0.00100	0.80478
1.400	0.00100	0.80113
1.600	0.00100	0.80011
1.800	0.00100	0.80053
2.000	0.00100	0.80177
2.200	0.00100	0.80347
2.400	0.00100	0.80543
2.600	0.00100	0.80752
2.800	0.00100	0.80968
3.000	0.00100	0.81184
3.200	0.00100	0.81399
3.400	0.00100	0.81610
3.600	0.00100	0.81816
3.800	0.00100	0.82016
4.000	0.00100	0.82211
4.200	0.00100	0.82399
4.400	0.00100	0.82581
4.600	0.00100	0.82758
4.800	0.00100	0.82928
5.000	0.00100	0.83093
5.200	0.00100	0.83252
5.400	0.00100	0.83407
5.600	0.00100	0.83556
5.800	0.00100	0.83701
6.000	0.00100	0.83840
6.200	0.00100	0.83976
6.400	0.00100	0.84107
6.600	0.00100	0.84235
6.800	0.00100	0.84359
7.000	0.00100	0.84479
7.200	0.00100	0.84595
7.400	0.00100	0.84709
7.600	0.00100	0.84819
7.800	0.00100	0.84926
8.000	0.00100	0.85031
8.200	0.00100	0.85132
8.400	0.00100	0.85231
8.600	0.00100	0.85328
8.800	0.00100	0.85422
9.000	0.00100	0.85514
9.200	0.00100	0.85603
9.400	0.00100	0.85691
9.600	0.00100	0.85776
9.800	0.00100	0.85859
10.00	0.00100	0.85941
10.20	0.00100	0.86021
10.40	0.00100	0.86099
10.60	0.00100	0.86175
10.80	0.00100	0.86250
11.00	0.00100	0.86323
11.20	0.00100	0.86394
11.40	0.00100	0.86464
11.60	0.00100	0.86533
11.80	0.00100	0.86601
12.00	0.00100	0.86667
12.20	0.00100	0.86731
12.40	0.00100	0.86795
12.60	0.00100	0.86857
12.80	0.00100	0.86919
13.00	0.00100	0.86979
13.20	0.00100	0.87038
13.40	0.00100	0.87096
13.60	0.00100	0.87153
13.80	0.00100	0.87209
14.00	0.00100	0.87264
14.20	0.00100	0.87318
14.40	0.00100	0.87371
14.60	0.00100	0.87423
14.80	0.00100	0.87475
15.00	0.00100	0.87525
0.6000	0.00250	0.85874
0.8000	0.00250	0.80620
1.000	0.00250	0.78382
1.200	0.00250	0.77378
1.400	0.00250	0.76958
1.600	0.00250	0.76839
1.800	0.00250	0.76887
2.000	0.00250	0.77028
2.200	0.00250	0.77223
2.400	0.00250	0.77448
2.600	0.00250	0.77688
2.800	0.00250	0.77935
3.000	0.00250	0.78184
3.200	0.00250	0.78430
3.400	0.00250	0.78672
3.600	0.00250	0.78909
3.800	0.00250	0.79139
4.000	0.00250	0.79363
4.200	0.00250	0.79580
4.400	0.00250	0.79789
4.600	0.00250	0.79992
4.800	0.00250	0.80189
5.000	0.00250	0.80379
5.200	0.00250	0.80562
5.400	0.00250	0.80740
5.600	0.00250	0.80912
5.800	0.00250	0.81079
6.000	0.00250	0.81240
6.200	0.00250	0.81396
6.400	0.00250	0.81548
6.600	0.00250	0.81695
6.800	0.00250	0.81838
7.000	0.00250	0.81976
7.200	0.00250	0.82111
7.400	0.00250	0.82242
7.600	0.00250	0.82369
7.800	0.00250	0.82493
8.000	0.00250	0.82613
8.200	0.00250	0.82731
8.400	0.00250	0.82845
8.600	0.00250	0.82956
8.800	0.00250	0.83065
9.000	0.00250	0.83171
9.200	0.00250	0.83275
9.400	0.00250	0.83376
9.600	0.00250	0.83474
9.800	0.00250	0.83571
10.00	0.00250	0.83665
10.20	0.00250	0.83757
10.40	0.00250	0.83847
10.60	0.00250	0.83935
10.80	0.00250	0.84022
11.00	0.00250	0.84106
11.20	0.00250	0.84189
11.40	0.00250	0.84270
11.60	0.00250	0.84350
11.80	0.00250	0.84428
12.00	0.00250	0.84504
12.20	0.00250	0.84579
12.40	0.00250	0.84652
12.60	0.00250	0.84725
12.80	0.00250	0.84795
13.00	0.00250	0.84865
13.20	0.00250	0.84933
13.40	0.00250	0.85000
13.60	0.00250	0.85066
13.80	0.00250	0.85131
14.00	0.00250	0.85195
14.20	0.00250	0.85257
14.40	0.00250	0.85319
14.60	0.00250	0.85379
14.80	0.00250	0.85439
15.00	0.00250	0.85498
0.6000	0.00500	0.84189
0.8000	0.00500	0.78337
1.000	0.00500	0.75853
1.200	0.00500	0.74739
1.400	0.00500	0.74272
1.600	0.00500	0.74140
1.800	0.00500	0.74191
2.000	0.00500	0.74347
2.200	0.00500	0.74562
2.400	0.00500	0.74810
2.600	0.00500	0.75076
2.800	0.00500	0.75349
3.000	0.00500	0.75624
3.200	0.00500	0.75897
3.400	0.00500	0.76165
3.600	0.00500	0.76427
3.800	0.00500	0.76683
4.000	0.00500	0.76930
4.200	0.00500	0.77171
4.400	0.00500	0.77403
4.600	0.00500	0.77629
4.800	0.00500	0.77847
5.000	0.00500	0.78057
5.200	0.00500	0.78261
5.400	0.00500	0.78459
